Name Version Type Abs_path
zxcvbn ^4.4.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@grpc/grpc-js 1.1.8 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@grpc/proto-loader 0.6.0-pre9 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
ansi-regex 5.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
cliui 6.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
is-fullwidth-code-point 3.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
semver 6.3.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
string-width 4.2.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
strip-ansi 6.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
wrap-ansi 6.2.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
yargs 15.4.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@grpc/proto-loader 0.5.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@protobufjs/aspromise 1.1.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@protobufjs/base64 1.1.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@protobufjs/codegen 2.0.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@protobufjs/eventemitter 1.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@protobufjs/fetch 1.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@protobufjs/float 1.0.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@protobufjs/inquire 1.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@protobufjs/path 1.1.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@protobufjs/pool 1.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
